Template,Map,Source Property 1,Source Value 1,Source Display 1,Source Property 2,Source Value 2,Target Property 1,Target Value 1,Target Display 1,Target System 1,Match,Status,Note
Allergy Intolerance Observation,CF_AllergyIntoleranceAbsentCode,playingEntity.code,1003752001,Hevea brasiliensis latex protein (substance),,,code,1003774007,No known Hevea brasiliensis latex allergy (situation) ,,Match,,
Allergy Intolerance Observation,CF_AllergyIntoleranceAbsentCode,playingEntity.code,410942007,Drug or medicament (substance),,,code,409137002,No known drug allergy (situation) ,,Match,,
Allergy Intolerance Observation,CF_AllergyIntoleranceAbsentCode,playingEntity.code,426232007,Environmental allergy (finding),,,code,428607008,No known environmental allergy (situation) ,,Broader,,
Allergy Intolerance Observation,CF_AllergyIntoleranceAbsentCode,playingEntity.code,762766007,Edible substance (substance),,,code,429625007,No known food allergy (situation) ,,Match,,
Allergy Intolerance Observation,CF_AllergyIntoleranceAbsentCode,playingEntity.code,260769002,Material (substance),,,code,716186003,No known allergy (situation) ,,Broader,,
Allergy Intolerance Observation,CF_AllergyIntoleranceClinicalStatus,value,413322009,Problem resolved (finding),,,clinicalStatus,active,active,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceClinicalStatus,value,55561003,Active (qualifier value),,,clinicalStatus,inactive,inactive,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceClinicalStatus,value,73425007,Inactive (qualifier value),,,clinicalStatus,resolved,resolved,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceReactionSeverity,value,24484000,Severe (severity modifier) (qualifier value) ,,,reaction.severity,severe,severe,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceReactionSeverity,value,255604002,Mild (qualifier value),,,reaction.severity,mild,mild,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceReactionSeverity,value,6736007,Moderate (severity modifier) (qualifier value),,,reaction.severity,moderate,moderate,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceCriticality,value,CRITH ,high criticality,,,criticality,high,high,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceCriticality,value,CRITL ,low criticality,,,criticality,low,low,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceCriticality,value,CRITU ,unable to assess criticality,,,criticality,unable-to-assess,unable-to-assess,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceCategory,value,235719002,Intolerance to food (finding) ,,,category,food,food,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceCategory,value,414285001,Allergy to food (finding),,,category,food,food,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceCategory,value,416098002,Allergy to drug (finding),,,category,medication,medication,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceCategory,value,418038007,Propensity to adverse reactions to substance (finding),,,category,null,null,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceCategory,value,418471000,Propensity to adverse reactions to food (finding),,,category,food,food,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceCategory,value,419199007,Allergy to substance (finding),,,category,null,null,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceCategory,value,419511003,Propensity to adverse reactions to drug (finding),,,category,medication,medication,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceCategory,value,420134006,Propensity to adverse reaction (finding),,,category,null,null,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceCategory,value,59037007,Intolerance to drug (finding),,,category,medication,medication,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceType,value,235719002,Intolerance to food (finding),,,type,intolerance,intolerance,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceType,value,414285001,Allergy to food (finding),,,type,allergy,allergy,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceType,value,416098002,Allergy to drug (finding),,,type,allergy,allergy,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceType,value,418038007,Propensity to adverse reactions to substance (finding),,,type,null,null,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceType,value,418471000,Propensity to adverse reactions to food (finding),,,type,null,null,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceType,value,419199007,Allergy to substance (finding),,,type,allergy,allergy,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceType,value,419511003,Propensity to adverse reactions to drug (finding),,,type,null,null,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceType,value,420134006,Propensity to adverse reaction (finding),,,type,null,null,,,,
Allergy Intolerance Observation,CF_AllergyIntoleranceType,value,59037007,Intolerance to drug (finding),,,type,intolerance,intolerance,,,,
Header,CF_MaritalStatus,maritalStatus,C,Common Law,,,maritalStatus,T,Domestic partner,,broader,,
Person Name,CF_NameUse,use,C,License,,,<not supported>,,,,,,
Person Name,CF_NameUse,use,I,Indigenous/Tribal,,,<not supported>,,,,,,
Person Name,CF_NameUse,use,L,Legal,,,HumanName.use,official,official,,,,
Person Name,CF_NameUse,use,P,pseudonym,,,,,,,,,
Person Name,CF_NameUse,use,  A,Artist/Stage,,,,,,,,,
Person Name,CF_NameUse,use,R,Religious,,,,,,,,,
Person Name,CF_NameUse,use,SRCH,search,,,,,,,,,
